customer_id,email,country,signup_date,acquisition_channel,age_group,is_premium
CUST_00001,williamsjeffrey@example.net,IN,2024-05-11,direct,35-44,False
CUST_00002,mgriffith@example.com,US,2023-04-19,direct,55+,True
CUST_00003,jason94@example.org,IN,2023-11-24,organic,25-34,False
CUST_00004,leslie66@example.com,IN,2024-04-12,paid_search,55+,False
CUST_00005,uvaldez@example.org,SG,2023-12-15,organic,25-34,False
CUST_00006,wburke@example.com,IN,2023-09-22,paid_search,35-44,True
CUST_00007,xneal@example.org,IN,2023-10-23,email,55+,False
CUST_00008,amandamccoy@example.org,US,2023-02-03,referral,18-24,False
CUST_00009,wroman@example.org,IN,2023-10-22,email,55+,False
CUST_00010,zriley@example.net,SG,2023-10-08,direct,18-24,True
CUST_00011,frederickkrista@example.net,US,2023-06-27,organic,25-34,False
CUST_00012,elizabeth12@example.org,IN,2023-10-23,direct,35-44,True
CUST_00013,wendysantos@example.net,IN,2023-10-03,email,18-24,False
CUST_00014,dunlapjerry@example.com,SG,2023-05-13,paid_search,25-34,False
CUST_00015,tbates@example.org,AU,2023-07-29,direct,55+,False
CUST_00016,taraschneider@example.com,GB,2023-09-09,organic,25-34,False
CUST_00017,millsaustin@example.org,SG,2023-09-03,organic,25-34,False
CUST_00018,gonzalezroy@example.org,GB,2024-03-16,email,25-34,False
CUST_00019,carsonrobert@example.com,GB,2023-11-04,direct,45-54,True
CUST_00020,jason31@example.net,IN,2023-04-19,referral,55+,False
CUST_00021,robinfaulkner@example.net,SG,2024-03-30,referral,45-54,False
CUST_00022,zhangbarbara@example.com,SG,2023-04-18,organic,18-24,False
CUST_00023,portiz@example.com,US,2023-04-29,direct,45-54,False
CUST_00024,danielblake@example.com,IN,2023-10-26,social,55+,False
CUST_00025,samuel38@example.com,GB,2024-03-05,organic,18-24,False
CUST_00026,joshuawilliamson@example.net,US,2024-02-22,direct,35-44,True
CUST_00027,igutierrez@example.net,IN,2023-12-04,organic,35-44,False
CUST_00028,fhernandez@example.com,SG,2023-05-19,organic,35-44,False
CUST_00029,joshua99@example.com,US,2024-01-30,paid_search,35-44,False
CUST_00030,paigedonaldson@example.net,AU,2024-02-23,referral,18-24,False
CUST_00031,nguyenmichelle@example.org,IN,2024-01-15,email,35-44,False
CUST_00032,owendiane@example.com,GB,2023-07-07,organic,18-24,False
CUST_00033,abishop@example.org,AU,2023-02-23,referral,25-34,True
CUST_00034,cmendez@example.com,AU,2024-01-05,paid_search,35-44,False
CUST_00035,michelle42@example.com,SG,2024-04-16,paid_search,55+,False
CUST_00036,leonmanuel@example.org,IN,2024-06-19,email,45-54,False
CUST_00037,kim84@example.org,IN,2024-05-19,referral,45-54,True
CUST_00038,garciamaria@example.org,IN,2023-06-24,organic,55+,False
CUST_00039,jacob33@example.com,IN,2024-04-02,organic,18-24,False
CUST_00040,tracy51@example.org,GB,2023-01-25,organic,55+,False
CUST_00041,floresjames@example.net,SG,2024-06-03,referral,25-34,False
CUST_00042,josephrogers@example.org,SG,2024-03-19,paid_search,45-54,False
CUST_00043,cortezsteven@example.com,IN,2023-05-28,direct,45-54,False
CUST_00044,luis32@example.net,SG,2023-11-16,direct,18-24,False
CUST_00045,zfowler@example.net,IN,2024-05-16,social,35-44,False
CUST_00046,amy63@example.net,IN,2023-03-26,paid_search,55+,False
CUST_00047,moorejanet@example.com,IN,2023-11-24,social,25-34,False
CUST_00048,dillonbenjamin@example.net,SG,2023-02-28,referral,18-24,True
CUST_00049,martinjoseph@example.org,GB,2024-02-24,organic,25-34,True
CUST_00050,cmurray@example.org,SG,2024-01-13,social,18-24,True
CUST_00051,christopheredwards@example.com,AU,2023-01-02,email,45-54,False
CUST_00052,ballkenneth@example.com,AU,2024-06-25,referral,45-54,True
CUST_00053,kingdouglas@example.net,IN,2023-08-19,organic,55+,False
CUST_00054,holtryan@example.com,US,2023-02-17,organic,18-24,False
CUST_00055,villarrealtanya@example.net,AU,2024-01-26,referral,25-34,True
CUST_00056,tmayer@example.com,IN,2024-01-30,paid_search,18-24,False
CUST_00057,melaniepoole@example.org,GB,2024-06-08,social,18-24,False
CUST_00058,patrickburke@example.org,IN,2024-03-18,referral,18-24,False
CUST_00059,vincentatkins@example.com,US,2023-11-22,referral,55+,False
CUST_00060,greenetracy@example.net,IN,2023-07-22,direct,35-44,False
CUST_00061,christopher49@example.com,IN,2023-11-04,direct,35-44,False
CUST_00062,isaacchapman@example.com,IN,2023-02-26,referral,55+,False
CUST_00063,torressarah@example.org,SG,2023-02-26,referral,35-44,True
CUST_00064,hollywebb@example.org,GB,2023-09-29,paid_search,35-44,False
CUST_00065,lunaerik@example.com,GB,2023-12-07,direct,35-44,False
CUST_00066,robertschristina@example.net,SG,2024-05-22,direct,55+,False
CUST_00067,staceycohen@example.org,IN,2024-05-30,paid_search,35-44,True
CUST_00068,tiffanyperez@example.org,US,2023-03-25,paid_search,35-44,False
CUST_00069,sheila96@example.net,US,2023-06-13,paid_search,35-44,False
CUST_00070,hillcassidy@example.net,AU,2023-07-15,organic,18-24,False
CUST_00071,perezteresa@example.net,IN,2023-08-03,email,25-34,False
CUST_00072,ztorres@example.net,IN,2023-07-23,social,55+,False
CUST_00073,frederick44@example.com,IN,2024-03-11,organic,25-34,False
CUST_00074,yjones@example.net,SG,2023-10-14,paid_search,45-54,True
CUST_00075,brian66@example.net,IN,2023-08-28,organic,35-44,False
CUST_00076,marvinhouse@example.com,US,2023-07-13,email,55+,False
CUST_00077,calvin39@example.net,AU,2023-11-12,direct,25-34,False
CUST_00078,belleric@example.net,GB,2023-07-03,paid_search,45-54,True
CUST_00079,calvinfisher@example.net,US,2023-09-16,social,25-34,False
CUST_00080,gonzalezchristine@example.net,IN,2024-06-28,organic,45-54,False
CUST_00081,ybecker@example.net,IN,2023-12-24,paid_search,25-34,True
CUST_00082,washingtonandrea@example.com,IN,2023-05-31,email,18-24,False
CUST_00083,michelle92@example.com,IN,2023-08-05,referral,45-54,False
CUST_00084,gleonard@example.org,IN,2024-02-21,organic,18-24,False
CUST_00085,jennifersanchez@example.org,IN,2023-07-22,email,18-24,True
CUST_00086,etran@example.net,IN,2023-12-04,email,45-54,False
CUST_00087,daniel70@example.com,IN,2024-02-02,referral,25-34,False
CUST_00088,collinslori@example.net,IN,2023-12-05,referral,25-34,False
CUST_00089,cochranelizabeth@example.com,AU,2023-02-24,email,55+,False
CUST_00090,debrataylor@example.org,US,2023-04-07,email,55+,False
CUST_00091,clarkejerry@example.net,IN,2023-11-14,direct,35-44,False
CUST_00092,ibryant@example.org,SG,2023-05-30,social,25-34,False
CUST_00093,christopher92@example.org,SG,2023-08-22,organic,35-44,False
CUST_00094,russell75@example.org,US,2023-11-30,referral,35-44,False
CUST_00095,murphywhitney@example.net,US,2023-12-10,referral,45-54,False
CUST_00096,ianwelch@example.net,US,2023-05-12,email,55+,False
CUST_00097,christopher14@example.com,IN,2024-04-25,paid_search,35-44,False
CUST_00098,mary78@example.net,IN,2023-06-04,organic,25-34,False
CUST_00099,tammie12@example.com,GB,2024-04-19,organic,45-54,False
CUST_00100,otodd@example.com,SG,2024-05-04,direct,45-54,False
CUST_00101,alvaradoemily@example.net,IN,2023-07-09,direct,18-24,False
CUST_00102,xanderson@example.com,US,2023-03-24,paid_search,25-34,False
CUST_00103,steelevirginia@example.org,SG,2024-06-24,organic,55+,False
CUST_00104,jimharrell@example.net,SG,2023-04-05,social,55+,False
CUST_00105,townsendlarry@example.net,IN,2024-04-07,social,55+,False
CUST_00106,erika00@example.org,SG,2024-01-28,referral,45-54,False
CUST_00107,michaelvasquez@example.com,SG,2024-01-04,paid_search,35-44,False
CUST_00108,arnolddavid@example.net,SG,2024-02-09,paid_search,35-44,False
CUST_00109,barrettmichael@example.com,IN,2023-08-10,email,35-44,False
CUST_00110,elizabeth69@example.org,IN,2023-03-04,paid_search,45-54,False
CUST_00111,haleyvonne@example.org,IN,2023-06-16,social,35-44,False
CUST_00112,ztaylor@example.org,IN,2023-11-19,social,45-54,False
CUST_00113,norrisjustin@example.org,AU,2024-03-29,organic,55+,False
